settlement_id,name,admin1,admin2,population,num_buildings,distance_to_grid_km,has_health,has_education,has_nightlight,demand_tier,final_connections,final_demand_mwh,grid_lcoe,minigrid_lcoe,shs_lcoe,grid_cost_per_conn,minigrid_cost_per_conn,shs_cost_per_conn,least_cost_technology,least_cost_lcoe,priority_score
9933,Tchankada,Kouffo,Toviklin,848,329,9.71,0,0,0,Tier3,246.0,190.12,338.54,957.04,840.76,476.21,1538.34,1500.0,Grid,338.54,0.3017
13151,Location #17106,Alibori,Gogounou,21,8,52.38,0,0,0,Tier1,6.1,0.28,,,3059.47,,,150.0,SHS,3059.47,0.0723
15695,Kokiborou,Alibori,Banikoara,44,17,16.48,0,0,0,Tier1,12.8,0.59,93409.53,,1992.52,9237.54,,150.0,SHS,1992.52,0.127
9517,Location #14615,Donga,Copargo,46,18,13.14,0,0,0,Tier2,13.3,2.06,21693.73,,1399.13,7094.95,,400.0,SHS,1399.13,0.1321
14017,Location #14623,Alibori,Gogounou,46,18,47.98,0,0,0,Tier1,13.3,0.62,282716.05,,2953.82,25371.52,,150.0,SHS,2953.82,0.0799
5634,Dassa-Zoumé,Collines,Dassa-Zoume,46,18,23.39,0,0,0,Tier1,13.3,0.62,126084.44,,2143.13,12472.12,,150.0,SHS,2143.13,0.1168
9480,Location #2588,Donga,Copargo,441,171,11.98,0,0,0,Tier2,127.9,19.77,2698.56,2130.87,1391.49,855.5,600.89,400.0,SHS,1391.49,0.1497
16753,Location #9005,Alibori,Karimama,90,35,41.28,0,0,0,Tier1,26.1,1.22,125626.48,5798.61,2792.93,11269.28,456.51,150.0,SHS,2792.93,0.0917
7372,Tchaourou,Borgou,Tchaourou,237,92,18.34,0,1,0,Tier3,68.7,53.13,1352.88,1034.06,1008.72,2067.36,1404.46,1500.0,SHS,1008.72,0.232
713,Houéyogbé,Mono,Houeyogbe,46,18,11.78,0,0,0,Tier2,13.3,2.06,19515.04,,1390.17,6379.3,,400.0,SHS,1390.17,0.1342
